vrom,address,name,file,length,hash of top bits of words,functions called by this function,non-jal function calls,referenced functions
0x0246AC,0x801246AC,func_801246AC,,0x880,5b62a517d462bf23d5ef50abbbc50f48,[func_80178134;func_801B7764;func_801B13CC;func_8014D5E0;func_801C0A2C;func_801C0B00;func_8011CD50;func_8010D5FC;func_80129AFC;func_80179524;func_80128F74;func_80125794;func_80128DF8;func_80178134;func_80178134;func_801493EC;func_80128D34],[],[]
0x024F2C,0x80124F2C,func_80124F2C,,0xCC,8480e88a89499b6eb0638ecd9865b28c,[],[],[]
0x024FF8,0x80124FF8,func_80124FF8,,0x48,d6e85d6df40dae038059c65aa5af712a,[func_8012801C],[],[]
0x025040,0x80125040,func_80125040,,0x15C,b25bf8ccc05d3d83b3cb7df264887f8e,[],[],[]
0x02519C,0x8012519C,func_8012519C,,0xF8,3130f82aee97eafec0158956fe2e42a3,[],[],[]
0x025294,0x80125294,func_80125294,,0x500,6b766cd8a2c63c2a7a2f43f7f479ae06,[func_8014A9D8;func_80188F90;func_80188FB4;func_801A6820;func_8014ABEC;func_8015C758;func_801A8E30;func_801B4010;func_8018A9D0;func_80179EAC;func_801B9140;func_80179EAC;func_8018E6F8;func_8018E5F0;func_8018B3D8;func_8012ACC0;func_8018B3B8;func_801BAF6C;func_801B87C4;func_801B7B40;func_801779F0;func_8014A9FC;func_8011D88C;func_80177A14;func_801490AC],[],[]
0x025794,0x80125794,func_80125794,,0xCA8,ac8a4bcf2873e9965bdc5bd10ab78f5d,[func_80148D80;func_801BB5C4;func_801492FC;func_80148D80;func_801BB5C4;func_8015C4C8;func_80148E48;func_801B66D4;func_801B7764;func_80148E48;func_80128DF8;func_80147000;func_80177A14;func_80148E48;func_80147000;func_80178134;func_8018D39C;func_80173CE8;func_80167604;func_801496C8;func_8015C4C8;func_8015C4C8;func_8015C4C8;func_80173CE8;func_80147000;func_80178134;func_80178134;func_80167604;func_801C6000;func_801C6000;func_801490AC;func_801C6000;func_80162EAC;func_801C6000;func_801490AC;func_801490AC;func_80162EAC;func_80147000;func_801AA5BC;func_801A8E54;func_80147000;func_80147000;func_80147000;func_8010F94C;func_8012AD30],[],[]
0x02643C,0x8012643C,func_8012643C,,0x1BE0,958350259e8ac443669005f6d20e93f7,[func_80177A14;func_80145680;func_801469E4;func_801469E4;func_8012A77C;func_8014D5E0;func_801C0A2C;func_801C0B00;func_8011CD50;func_8011CAF8;func_8014D4D0;func_801B392C;func_801B39DC;func_80178704;func_80173CE8;func_8017DBA0;func_80149318;func_8017DBA0;func_801570AC;func_80147000;func_80178134;func_80133998;func_801496C8;func_80173CE8;func_80178134;func_8018C700;func_8014D61C;func_801C4030;func_80178704;func_80147000;func_8017DBA0;func_801490AC;func_80147000;func_80147000;func_80147000;func_8017DBA0;func_8017DBA0;func_8017DBA0;T_80189E78;func_80147000;func_80147000;func_80147000;func_8017DBA0;func_8017DBA0;func_8017DBA0;T_80189E78;func_801785E0;func_80167604;func_8017DBA0;func_80149724;func_80178760;func_80173CE8;func_8017DBA0;func_8015C350;func_801570AC;func_80149568;func_80148D0C;func_80128DF8;func_8012AD30;func_80160228;func_8015C350;T_801C066C;func_8012A850;T_801C066C;T_801C066C;func_80145680;func_80145680;func_801469E4;func_80145680;func_801793DC;func_801793DC;func_80128F0C;func_801BB710;func_8012C2B0;func_8014AB20;func_8014ED9C;func_8014ED9C],[],[]
0x02801C,0x8012801C,func_8012801C,,0x5F0,6f5b5c0b5af14288f274ff2c3f050929,[func_801469E4;func_801469E4;func_801469E4;func_801D2150;func_801469E4;func_801D2150],[],[]
0x02860C,0x8012860C,func_8012860C,,0x728,261e7ba7967e8132740dbd3d0997b97a,[func_80149724;func_801793DC;func_8014AAB8;func_8014AAB8;func_8012C2B0;func_801793DC;func_8014E9F4;func_80128DF8;func_8014E9F4;func_80128DF8;func_8014E9F4;func_8014E9F4;func_80128DF8],[],[]
0x028D34,0x80128D34,func_80128D34,,0xC4,fc8c5fbefa2f613e63c6bde044015246,[func_80149724],[],[]
0x028DF8,0x80128DF8,func_80128DF8,,0x114,8fae8c29157f78c114927aa4db285fc0,[],[],[]
0x028F0C,0x80128F0C,func_80128F0C,,0x68,266c38226251f1d791da91c7c22a30f9,[func_801793DC],[],[]
0x028F74,0x80128F74,func_80128F74,,0xA8,63f7368411b834efbfd943dddeafe238,[func_80145680;func_801793DC],[],[]
0x02901C,0x8012901C,func_8012901C,,0xAE0,3f80f358a4d9edcb6a1bfdae81a5740a,[func_801335A8;func_80132C04;func_80132B5C;func_80132DA8;func_80125040;func_8010F9C0;func_8014F510;func_8014A9FC;func_8014D548;func_80145680;func_80141720;func_80155AE4;func_8014A9D8;func_80188F90;func_80188FB4;func_801A6820;func_8014ABEC;func_8015C758;func_801A8E30;func_801B4010;func_8018A9D0;func_80179EAC;func_801B9140;func_80179EAC;func_8018E6F8;func_8018E5F0;func_8018B3D8;func_8012ACC0;func_8018B3B8;func_801BAF6C;func_801B87C4;func_801B7B40;func_801779F0;func_8014A9FC;func_8011D88C;func_8014D548;func_8014ED2C;func_8014944C;func_8014944C;func_80149724;func_801793DC;func_8014D4D0;func_801793DC;func_801399EC;func_80155A44;func_8014F510;func_8014F510;func_8014E760;func_8014D548;func_80150EA4;func_8010EEF8;func_8010EEF8;func_8010EEF8;func_80142700;func_80133998;func_8013FCDC;func_8014AA20;func_80139CA0;func_8014FCF8;func_80155AE4;T_801C066C],[],[]
0x029AFC,0x80129AFC,func_80129AFC,,0x2FC,7db38a25f6a71cea545e390830b7e31b,[func_8014944C;func_8014AAB8;func_8010F94C;func_8011CAF8;func_80141720;func_8012BEE0;func_8015C350;func_8014944C;func_8014944C;func_8014944C],[],[]
0x029DF8,0x80129DF8,func_80129DF8,,0x940,7a075662b8c2447ee929fa0542a096ce,[func_8012A77C;func_8014D4D0;func_80149568;func_801499EC;func_801B66D4;func_801B7764;func_801A8EF8;func_801C4030;func_8014D61C;func_801AA5BC;func_80149568;func_801A96A8;func_801A8E54;func_801AE348;func_80147000;func_80147000;func_801B66D4;func_801B70F8;func_80147000;func_801A41B4;func_8013FCDC;func_80139CA0;func_8014FCF8;func_8014A9FC;func_8014AA20;func_80141720;func_801230A8],[],[]
0x02A738,0x8012A738,func_8012A738,,0x44,a7ff47b6428b93a0922fb372d51be02e,[],[],[]
0x02A77C,0x8012A77C,func_8012A77C,,0xD4,2eb2d6bc4b6557f1879e1f2b268d9c1c,[func_80147000;func_80147000],[],[]
0x02A850,0x8012A850,func_8012A850,,0x3AC,cd1d50829702cc368604c71aa1cca650,[func_80147000;func_801B66D4;func_80147000;func_80147000;func_80147000;func_801B66D4;func_80145CEC],[],[]
0x02ABFC,0x8012ABFC,func_8012ABFC,,0x58,aa0b2268a83ef9c386407bf63951b472,[func_801A2944;func_8014D61C],[],[]
0x02AC54,0x8012AC54,func_8012AC54,,0x6C,faadbf884500c51dce5d611a844251e7,[func_801469E4;func_801A2944],[],[]
0x02ACC0,0x8012ACC0,func_8012ACC0,,0x24,30cdc51d34f2c0aed0e2d58f5cf4b2b4,[func_801A2944;func_801A2944],[],[]
0x02ACE4,0x8012ACE4,func_8012ACE4,,0x4C,354f5ba4d2276c7da359c7a0a4c80de8,[func_801A2944;func_8014D61C],[],[]
0x02AD30,0x8012AD30,func_8012AD30,,0xD0,50e7b0bdd938ee82acb8161919a6748c,[func_80139CA0;func_8014FCF8;func_801A8EF8],[],[]
0x02AE00,0x8012AE00,func_8012AE00,,0x8C,561165dfd0609def9385059f760cdd0f,[func_801AA5BC;func_80148CC8],[],[]
0x02AE8C,0x8012AE8C,func_8012AE8C,,0x1BC,74460efb53db7765790f4ca0d5f7bbfd,[func_80147000;func_80147000;func_80147000;func_801A96A8;func_80147000;func_80147000;func_80147000;func_80147000;func_801A8E54;func_8014D61C;T_801B7344;T_801B7344],[],[]
0x02B048,0x8012B048,func_8012B048,,0x734,5d9121f008df38135f0704f01f6c72da,[func_801AA5BC;func_80147000;func_80147000;func_80147000;func_801A96A8;func_80147000;func_80147000;func_80147000;func_80147000;func_801A8E54;func_801A2944;func_801AA5BC;func_801AE348;func_801A96A8;func_801A8E54;func_80147000;func_80147000;func_80147000;func_801B66D4;func_801A2944;func_801A2944],[],[]
0x02B77C,0x8012B77C,func_8012B77C,,0xD4,b393d04163df81b4d2ba0498bb9f2834,[func_801D2150;func_80132B5C;func_80132DA8],[],[]
0x02B850,0x8012B850,func_8012B850,,0x4F4,05552077b9644a2f0bf3afb839ad95d6,[],[],[]
0x02BD44,0x8012BD44,func_8012BD44,,0xBC,b7008e223e068e1d2301835615222d07,[func_801364D0],[],[]
